Large_Classification;Middle_ Classification;Small_Classification;Detail_Classification
Processing Technologies;Surface Treatment/Heat Treatment;Surface Treatment (Others);
Processing Technologies;Surface Treatment/Heat Treatment;Heat Treatment;
Processing Technologies;Surface Treatment/Heat Treatment;Plating;
Processing Technologies;Surface Treatment/Heat Treatment;Painting;
Processing Technologies;Other Processing;;
Processing Technologies;Rubber Parts;Extrusion Rubber Molding Parts;
Processing Technologies;Rubber Parts;Injection Rubber Molding Parts;
Processing Technologies;Rubber Parts;Rubber Metal Parts;
Processing Technologies;Jig & Tools;Retention Tool;Tool Holder
Processing Technologies;Jig & Tools;Retention Tool;Collet
Processing Technologies;Jig & Tools;Retention Tool;Arbor
Processing Technologies;Jig & Tools;Retention Tool;Boring Bar
Processing Technologies;Jig & Tools;Retention Tool;Turret
Processing Technologies;Jig & Tools;Retention Tool;Chip Holder
Processing Technologies;Jig & Tools;Retention Tool;Ware Fit Holder
Processing Technologies;Jig & Tools;Cutting Tool;Drilling Hole Finishing Tool
Processing Technologies;Jig & Tools;Cutting Tool;Gear Cutting Tool
Processing Technologies;Jig & Tools;Cutting Tool;Dresser
Processing Technologies;Jig & Tools;Cutting Tool;Various Drilling Tolls
Processing Technologies;Jig & Tools;Cutting Tool;Rolling Tool
Processing Technologies;Jig & Tools;Cutting Tool;Grinding Whetstone
Processing Technologies;Jig & Tools;Cutting Tool;Throw-away Chip
Processing Technologies;Jig & Tools;Cutting Tool;Turning Tools
Processing Technologies;Jig & Tools;Cutting Tool;Broach
Processing Technologies;Jig & Tools;Cutting Tool;Other Cutting Process Tools
Processing Technologies;Jig & Tools;Cutting Tool;CBN Tool
Processing Technologies;Jig & Tools;Cutting Tool;Milling Tool
Processing Technologies;Jig & Tools;Cutting Tool;Threading Tool
Processing Technologies;Jig & Tools;Cutting Tool;Diamond Tool (Incl. DLC)
Processing Technologies;Jig & Tools;Other Jig & Tools;Other Jig & Tools/Instruments/Equipments
Processing Technologies;Jig & Tools;Welding Jig & Tools;Work Locater (Part Positioning)
Processing Technologies;Jig & Tools;Chuck;Magnetic Chuck
Processing Technologies;Jig & Tools;Chuck;Tailstock
Processing Technologies;Jig & Tools;Chuck;Collet
Processing Technologies;Jig & Tools;Chuck;Chuck
Processing Technologies;Jig & Tools;Clamper;Angle Plate
Processing Technologies;Jig & Tools;Clamper;Tail Control
Processing Technologies;Jig & Tools;Clamper;Base
Processing Technologies;Jig & Tools;Clamper;Work Locater (Part Positioning)
Processing Technologies;Jig & Tools;Clamper;Mandrel
Processing Technologies;Jig & Tools;Clamper;Clamp
Processing Technologies;Plastic Molded Parts;Extrusion Plastic Molding Parts;
Processing Technologies;Plastic Molded Parts;Blow Molded Parts;
Processing Technologies;Plastic Molded Parts;Form Molded Parts;
Processing Technologies;Plastic Molded Parts;Plastic Injection Molded Parts;
Processing Technologies;Plastic Molded Parts;Resin Processing Parts (Others);
Processing Technologies;Die;Casting;Lost-Wax Mold
Processing Technologies;Die;Casting;Shell Mold
Processing Technologies;Die;Casting;Sand Mold
Processing Technologies;Die;Plastic Processing Mold;Rolling Process
Processing Technologies;Die;Plastic Processing Mold;Hydraulic forming
Processing Technologies;Die;Plastic Processing Mold;Swaging
Processing Technologies;Die;Plastic Processing Mold;Spinning
Processing Technologies;Die;Plastic Processing Mold;Tube Forming
Processing Technologies;Die;Plastic Processing Mold;Rolling
Processing Technologies;Die;Stamping Die;Components for Metal Molding
Processing Technologies;Die;Stamping Die;Metal Mold Peripheral Equipment/Device
Processing Technologies;Die;Stamping Die;Components for Die Casting
Processing Technologies;Die;Stamping Die;Finishing
Processing Technologies;Die;Stamping Die;Components for Stamping Die
Processing Technologies;Die;Stamping Die;Metal Molding Surface Treatment
Processing Technologies;Die;Stamping Die;Casting & Forging Die/Tools
Processing Technologies;Die;Forging Die;Cold Forging
Processing Technologies;Die;Forging Die;Warm Forging
Processing Technologies;Die;Forging Die;Hot Forging
Processing Technologies;Die;Forging Die;Extrusion
Processing Technologies;Die;Forging Die;Upsetting
Processing Technologies;Die;Plastic Mold;Injection Molding
Processing Technologies;Die;Plastic Mold;Vacuum Forming
Processing Technologies;Die;Plastic Mold;Two-Color Molding
Processing Technologies;Die;Plastic Mold;Blow Molding
Processing Technologies;Die;Plastic Mold;Form Molding
Processing Technologies;Die;Plastic Mold;Rubber Molding
Processing Technologies;Die;Die Casting Mold;PDC
Processing Technologies;Die;Die Casting Mold;Zinc DC
Processing Technologies;Die;Die Casting Mold;Magnesium DC
Processing Technologies;Die;Die Casting Mold;LPDC
Processing Technologies;Die;Metal Mold Components;Stripper Plate
Processing Technologies;Die;Metal Mold Components;Die
Processing Technologies;Die;Metal Mold Components;Ejector
Processing Technologies;Die;Metal Mold Components;Die Plate
Processing Technologies;Die;Metal Mold Components;Punch
Processing Technologies;Die;Metal Mold Components;Feeder
Processing Technologies;Die;Metal Mold Components;Die Set
Processing Technologies;Die;Metal Mold Components;Guide Bushing
Processing Technologies;Die;Metal Mold Components;Gripper
Processing Technologies;Die;Metal Mold Components;Metal Mold Base
Processing Technologies;Die;Metal Mold Components;Guide Pin
Processing Technologies;Die;Metal Mold Components;Cushion Spring
Processing Technologies;Metal Forming Process;Stamping Parts;Fine Blanking Parts
Processing Technologies;Metal Forming Process;Stamping Parts;Tailored Blanking Parts
Processing Technologies;Metal Forming Process;Die Cast Parts;Magnesium Die Cast Parts
Processing Technologies;Metal Forming Process;Die Cast Parts;Aluminuium Die Cast Parts
Processing Technologies;Metal Forming Process;Metal Forming Process (Others);
Processing Technologies;Metal Forming Process;Casting Parts;Aluminum Casting Parts
Processing Technologies;Metal Forming Process;Casting Parts;Cast Iron Parts
Processing Technologies;Metal Forming Process;Aluminum Extrusion Forming Parts;
Processing Technologies;Metal Forming Process;Machining Parts;Aluminum Machining
Processing Technologies;Metal Forming Process;Sintered Parts;
Processing Technologies;Metal Forming Process;Hydraulic Forming Parts;
Processing Technologies;Metal Forming Process;Forged Parts;Hot Forged Parts
Processing Technologies;Metal Forming Process;Forged Parts;Cold Forged Parts
Processing Technologies;Metal Forming Process;Forged Parts;Warm Forged Parts
Processing Technologies;Assembly/Welding;Welding;
Processing Technologies;Assembly/Welding;Assembly;
Components;Suspension / Steering / Wheel & Tire;Suspension;Transverse Link
Components;Suspension / Steering / Wheel & Tire;Suspension;Suspension Strut
Components;Suspension / Steering / Wheel & Tire;Suspension;Spring Seat
Components;Suspension / Steering / Wheel & Tire;Suspension;Suspension Mount Rubber
Components;Suspension / Steering / Wheel & Tire;Suspension;Lateral Rod
Components;Suspension / Steering / Wheel & Tire;Suspension;Suspension Rod
Components;Suspension / Steering / Wheel & Tire;Suspension;Coil Spring
Components;Suspension / Steering / Wheel & Tire;Suspension;Suspension Ball Joint
Components;Suspension / Steering / Wheel & Tire;Suspension;Control Arm
Components;Suspension / Steering / Wheel & Tire;Suspension;Knuckle Arm
Components;Suspension / Steering / Wheel & Tire;Suspension;Leaf Spring
Components;Suspension / Steering / Wheel & Tire;Suspension;Stabilizer
Components;Suspension / Steering / Wheel & Tire;Suspension;Suspension Parts
Components;Suspension / Steering / Wheel & Tire;Suspension;Tension Rod
Components;Suspension / Steering / Wheel & Tire;Suspension;Suspension Cross Member
Components;Suspension / Steering / Wheel & Tire;Suspension;Torsion Bar
Components;Suspension / Steering / Wheel & Tire;Suspension;Suspension Mount Bracket
Components;Suspension / Steering / Wheel & Tire;Shock Absorber;Shock Absorber
Components;Suspension / Steering / Wheel & Tire;Shock Absorber;Shock Absorber Parts
Components;Suspension / Steering / Wheel & Tire;Shock Absorber;Electric Shock Absorber
Components;Suspension / Steering / Wheel & Tire;Shock Absorber;Air Shock Absorber
Components;Suspension / Steering / Wheel & Tire;Shock Absorber;Shock Absorber Module
Components;Suspension / Steering / Wheel & Tire;Steering;Electric Power Steering
Components;Suspension / Steering / Wheel & Tire;Steering;Steering Gear
Components;Suspension / Steering / Wheel & Tire;Steering;Steering Shaft
Components;Suspension / Steering / Wheel & Tire;Steering;Steering Mount
Components;Suspension / Steering / Wheel & Tire;Steering;Power Steering
Components;Suspension / Steering / Wheel & Tire;Steering;4WS
Components;Suspension / Steering / Wheel & Tire;Steering;Steering Column Module
Components;Suspension / Steering / Wheel & Tire;Steering;Steering Lock
Components;Suspension / Steering / Wheel & Tire;Steering;Tilt Steering
Components;Suspension / Steering / Wheel & Tire;Steering;Steering Column
Components;Suspension / Steering / Wheel & Tire;Steering;Steering Hose
Components;Suspension / Steering / Wheel & Tire;Steering;Energy Absorbing Steering
Components;Suspension / Steering / Wheel & Tire;Steering;Steering Linkage
Components;Suspension / Steering / Wheel & Tire;Steering;Steering Joint
Components;Suspension / Steering / Wheel & Tire;Steering;Steering Parts
Components;Suspension / Steering / Wheel & Tire;Suspension Control;Suspension ECU
Components;Suspension / Steering / Wheel & Tire;Chassis Module;Front Chassis Module
Components;Suspension / Steering / Wheel & Tire;Chassis Module;Front Suspension Corner Module
Components;Suspension / Steering / Wheel & Tire;Chassis Module;Chassis Module
Components;Suspension / Steering / Wheel & Tire;Chassis Module;Front Suspension Module
Components;Suspension / Steering / Wheel & Tire;Chassis Module;Suspension Module
Components;Suspension / Steering / Wheel & Tire;Chassis Module;Rear Suspension Module
Components;Suspension / Steering / Wheel & Tire;Chassis Module;Rear Chassis Module
Components;Suspension / Steering / Wheel & Tire;Chassis Module;Front Suspension Center Module
Components;Suspension / Steering / Wheel & Tire;Electric Suspension;
Components;Suspension / Steering / Wheel & Tire;Tire;Tire Cord
Components;Suspension / Steering / Wheel & Tire;Tire;Tire Valve
Components;Suspension / Steering / Wheel & Tire;Tire;Tire Parts
Components;Suspension / Steering / Wheel & Tire;Air Suspension;
Components;Suspension / Steering / Wheel & Tire;Road Wheel;Wheel Nut
Components;Suspension / Steering / Wheel & Tire;Road Wheel;Alloy Wheel
Components;Suspension / Steering / Wheel & Tire;Road Wheel;Steel Wheel
Components;Suspension / Steering / Wheel & Tire;Road Wheel;Road Wheel Parts
Components;Suspension / Steering / Wheel & Tire;Road Wheel;Road Wheel
Components;Suspension / Steering / Wheel & Tire;Road Wheel;King Pin
Components;Climate Control;Heater;Heater Solenoid Valve
Components;Climate Control;Heater;Heater Parts
Components;Climate Control;Heater;Heater Core
Components;Climate Control;Heater;Heater Hose
Components;Climate Control;Heater;Defroster
Components;Climate Control;Heater;Heater Control Unit
Components;Climate Control;Air Conditioner;Air Conditioner Condenser
Components;Climate Control;Air Conditioner;Air Conditioner Receiver
Components;Climate Control;Air Conditioner;A/C Parts
Components;Climate Control;Air Conditioner;Air Conditioner Compressor
Components;Climate Control;Air Conditioner;Expansion Valve
Components;Climate Control;Air Conditioner;Air Conditioner ECU
Components;Climate Control;Air Conditioner;Air Conditioner Clutch
Components;Climate Control;Air Conditioner;Air Conditioner Hose
Components;Climate Control;Air Conditioner;Air Conditioner Evaporator
Components;Climate Control;Air Conditioner;Refrigerant Tank
Components;Climate Control;HVAC Module;
Components;Climate Control;Ventilator;Ventilator Parts
Components;Climate Control;Ventilator;Blower
Components;Climate Control;Preheater;
Components;Climate Control;Auxiliary Heater;
Components;Climate Control;Other Climate Control Parts;Refrigerator
Components;Climate Control;Other Climate Control Parts;Electric Air Purifier
Components;Climate Control;Other Climate Control Parts;Cabin Filter
Components;Climate Control;Other Climate Control Parts;Air Duct
Components;Electrification Components;Electric Drive Train System;Electric Drivetrain System Components
Components;Electrification Components;Electric Drive Train System;Generators for EV
Components;Electrification Components;Electric Drive Train System;Drive motors (induction motors/permanent magnet synchronous motors)
Components;Electrification Components;Fuel cell system;Fuel cell system parts
Components;Electrification Components;Fuel cell system;Hydrogen tank
Components;Electrification Components;Fuel cell system;Fuel cell
Components;Electrification Components;Fuel cell system;Fuel cell stack
Components;Electrification Components;Electrification Components (Others);
Components;Electrification Components;Battery/Capacitor;Nickel metal hydride battery
Components;Electrification Components;Battery/Capacitor;Battery Management System (BMS)
Components;Electrification Components;Battery/Capacitor;Battery/Capacitor parts
Components;Electrification Components;Battery/Capacitor;Battery case
Components;Electrification Components;Battery/Capacitor;Solar panel
Components;Electrification Components;Battery/Capacitor;Various battery
Components;Electrification Components;Battery/Capacitor;Battery charger
Components;Electrification Components;Battery/Capacitor;Lithium-ion battery
Components;Electrification Components;Battery/Capacitor;Capacitor
Components;Electrification Components;Power Control Unit (PCU);Inverter
Components;Electrification Components;Power Control Unit (PCU);Power Control Unit (PCU) Components
Components;Electrification Components;Power Control Unit (PCU);Power ECU
Components;Electrification Components;Power Control Unit (PCU);DC-DC converters
Components;Drive Train;CVT;CVT Parts
Components;Drive Train;CVT;CVT ECU
Components;Drive Train;CVT;CVT Belt
Components;Drive Train;Power Take Off;
Components;Drive Train;Automatic Transmission;Torque Converter
Components;Drive Train;Automatic Transmission;Automatic Transmission Oil Pump
Components;Drive Train;Automatic Transmission;Automatic Control Parts
Components;Drive Train;Automatic Transmission;Automatic Transmission Shift Lever
Components;Drive Train;Automatic Transmission;Automatic Transmission Clutch
Components;Drive Train;Automatic Transmission;Automatic Transmission Shift Lock Mechanism
Components;Drive Train;Automatic Transmission;Planetary Gear
Components;Drive Train;Automatic Transmission;Automatic Transmission Solenoid
Components;Drive Train;Automatic Transmission;Lock Up Mechanism
Components;Drive Train;Automatic Transmission;Automatic Transmission Valve
Components;Drive Train;Automatic Transmission;Automatic Transmission Parts
Components;Drive Train;4WD Transfer;4WD Transfer Case
Components;Drive Train;4WD Transfer;4WD Parts
Components;Drive Train;4WD Transfer;4WD Transfer Gear
Components;Drive Train;Transmission;Shift Lever
Components;Drive Train;Transmission;Transmission Gear
Components;Drive Train;Transmission;Sleeve
Components;Drive Train;Transmission;Transmission Shaft
Components;Drive Train;Transmission;Synchronizer Ring
Components;Drive Train;Transmission;Transmission Case
Components;Drive Train;Transmission;Synchronizer Hub
Components;Drive Train;Transmission;Transmission Parts
Components;Drive Train;Transmission;Shift Fork
Components;Drive Train;Transmission;Transmission Rear Cover
Components;Drive Train;Transmission;Transmission Drive Chain
Components;Drive Train;LSD;Torque Sensing LSDs
Components;Drive Train;LSD;Viscous LSD
Components;Drive Train;LSD;Multiple LSD
Components;Drive Train;Clutch;Clutch Cover Complete
Components;Drive Train;Clutch;Clutch Parts
Components;Drive Train;Clutch;Clutch Master Cylinder/Pump
Components;Drive Train;Clutch;Clutch Disc
Components;Drive Train;Differential;Differential Parts
Components;Drive Train;Differential;Diff Pinion Shaft
Components;Drive Train;Differential;Differential Gear
Components;Drive Train;Differential;Differential Case
Components;Drive Train;Drivetrain;
Components;Interior;Instrument Panel ASSY;Instrument Frame
Components;Interior;Instrument Panel ASSY;Console Box
Components;Interior;Instrument Panel ASSY;Ash Tray
Components;Interior;Instrument Panel ASSY;Instrument Panel
Components;Interior;Instrument Panel ASSY;Head Up Display
Components;Interior;Instrument Panel ASSY;Clock
Components;Interior;Instrument Panel ASSY;Instrument Meter
Components;Interior;Instrument Panel ASSY;Package Tray
Components;Interior;Instrument Panel ASSY;Instrument Panel Parts
Components;Interior;Instrument Panel ASSY;Cross Car Beam
Components;Interior;Instrument Panel ASSY;Glove Box
Components;Interior;Instrument Panel ASSY;Cigarette Lighter
Components;Interior;Seat Belt;Seat Belt Webbing
Components;Interior;Seat Belt;Seat Belt Buckle
Components;Interior;Seat Belt;Seat Belt Parts
Components;Interior;Seat Belt;Seat Belt Retractor
Components;Interior;Seat Belt;Automatic Seat Belt
Components;Interior;Seat Belt;Seat Belt Adjustor
Components;Interior;Cockpit Module;
Components;Interior;Seat;Headrest
Components;Interior;Seat;Seat Metal Parts
Components;Interior;Seat;Seat Fabric
Components;Interior;Seat;Seat Plastic Parts
Components;Interior;Seat;Seat Cushion/Seat Back
Components;Interior;Seat;Seat Adjustor
Components;Interior;Seat;Seat Frame
Components;Interior;Seat;Seat Parts
Components;Interior;Steering Wheel;Armature
Components;Interior;Steering Wheel;Steering Wheel Parts
Components;Interior;Instrument Switch;Wiper Switch
Components;Interior;Instrument Switch;Fog Lamp Switch
Components;Interior;Instrument Switch;Power Seat Switch
Components;Interior;Instrument Switch;Push Lock Switch
Components;Interior;Instrument Switch;Turn Signal Switch
Components;Interior;Instrument Switch;Rear Defogger Switch
Components;Interior;Instrument Switch;Door Arm Rest Switch
Components;Interior;Instrument Switch;Steering Switch
Components;Interior;Instrument Switch;Lamp Switch
Components;Interior;Instrument Switch;Hazard Switch
Components;Interior;Instrument Switch;Power Window Switch
Components;Interior;Instrument Switch;Auto Cruise Control Switch
Components;Interior;Instrument Switch;Instrument Switch
Components;Interior;Instrument Switch;Combination Switch
Components;Interior;Instrument Switch;Washer Switch
Components;Interior;Instrument Switch;Mirror Control Switch
Components;Interior;Instrument Switch;Sunroof Switch
Components;Interior;Instrument Switch;Panel Switch
Components;Interior;Airbag System;Driver Airbag Module
Components;Interior;Airbag System;Side Airbag
Components;Interior;Airbag System;Airbag Module
Components;Interior;Airbag System;Airbag
Components;Interior;Airbag System;Airbag Parts
Components;Interior;Airbag System;Knee Airbag Module
Components;Interior;Airbag System;Airbag ECU
Components;Interior;Airbag System;Passenger Airbag Module
Components;Interior;Airbag System;Curtain Shield Airbag
Components;Interior;Interior Trim;Door Trim
Components;Interior;Interior Trim;Luggage/Trunk Trim
Components;Interior;Interior Trim;Assist Grip
Components;Interior;Interior Trim;Garnish
Components;Interior;Interior Trim;Interior Trim Parts
Components;Interior;Interior Trim;Floor Trim
Components;Interior;Interior Trim;Sun Visor
Components;Interior;Interior Trim;Steering Column Cover
Components;Interior;Interior Trim;Knee Bolster
Components;Interior;Interior Trim;Roof Module
Components;Interior;Interior Trim;Armrest
Components;Interior;Interior Trim;Inside Mirror
Components;Interior;Interior Trim;Rear Parcel
Components;Interior;Interior Trim;Roof Trim
Components;Interior;Interior Trim;Dash Insulator
Components;Interior;Interior Trim;Room Lamp
Components;Interior;Interior Trim;Pillar Cover
Components;Small/General Parts;Fastener / Connector;Clip
Components;Small/General Parts;Fastener / Connector;Stud
Components;Small/General Parts;Fastener / Connector;Joint
Components;Small/General Parts;Fastener / Connector;Bolt
Components;Small/General Parts;Fastener / Connector;Connector
Components;Small/General Parts;Fastener / Connector;Fastener
Components;Small/General Parts;Fastener / Connector;Clamp
Components;Small/General Parts;Adhesive / Tape;Tape
Components;Small/General Parts;Adhesive / Tape;Film
Components;Small/General Parts;Adhesive / Tape;Adhesive
Components;Small/General Parts;Bush / Seal;Bush
Components;Small/General Parts;Bush / Seal;O Ring
Components;Small/General Parts;Bush / Seal;Grommet
Components;Small/General Parts;Bush / Seal;Gasket
Components;Small/General Parts;Bush / Seal;Plug
Components;Small/General Parts;Bush / Seal;Seal
Components;Small/General Parts;Bush / Seal;Bellows
Components;Small/General Parts;Bush / Seal;Insulator
Components;Small/General Parts;Bush / Seal;Boots
Components;Small/General Parts;Pipe / Hose;Duct
Components;Small/General Parts;Pipe / Hose;Hose
Components;Small/General Parts;Pipe / Hose;Pipe
Components;Small/General Parts;General Commodity;Child Seat
Components;Small/General Parts;General Commodity;Tool Set
Components;Small/General Parts;General Commodity;Jack
Components;Small/General Parts;Component Parts;Spring
Components;Small/General Parts;Component Parts;Pin
